Date,MSFT,MMM,INTC
3/07/2012,25.794132,74.511703,21.484022
5/07/2012,25.743818,74.403702,21.236063
6/07/2012,25.316145,73.921913,20.924118
9/07/2012,25.15682,73.897003,20.932116
10/07/2012,24.938789,73.307213,20.444204
11/07/2012,24.569826,72.974915,20.308235
12/07/2012,24.007992,71.77874,19.788328
13/07/2012,24.645296,72.758957,20.196251
16/07/2012,24.687231,73.182594,20.100271
17/07/2012,24.871714,73.913605,20.300234
18/07/2012,25.53417,75.483582,20.964115
19/07/2012,25.718662,75.45034,20.84413
20/07/2012,25.257448,74.752579,20.412216
23/07/2012,24.553061,74.229248,20.204258
24/07/2012,24.444048,73.298897,20.00429
25/07/2012,24.175707,73.722549,20.100271
26/07/2012,24.452425,75.250969,20.396217
27/07/2012,24.955561,76.181358,20.812141
30/07/2012,24.854939,75.82415,20.604181
31/07/2012,24.712381,75.782623,20.556189
1/08/2012,24.662073,75.75769,20.740156
2/08/2012,24.477589,74.827339,20.724161
3/08/2012,24.947184,76.17305,21.163897
6/08/2012,25.114897,75.932152,21.228441
7/08/2012,25.374851,76.17305,21.381746
8/08/2012,25.433542,76.114868,21.462431
9/08/2012,25.576103,76.081665,21.543119
10/08/2012,25.509022,76.663147,21.688351
13/08/2012,25.483858,76.754509,21.535051
14/08/2012,25.43321,76.671448,21.365608
15/08/2012,25.492304,76.870811,21.196175
16/08/2012,25.981894,77.867607,21.454365
17/08/2012,26.083185,78.282951,21.244579
20/08/2012,25.948126,77.992226,21.163897
21/08/2012,25.99877,77.427383,21.06707
22/08/2012,25.779303,77.477516,20.760469
23/08/2012,25.542952,76.892349,20.203733
24/08/2012,25.796185,77.602905,20.098843
27/08/2012,25.90592,77.40226,20.042366
28/08/2012,25.855272,77.159851,20.171459
29/08/2012,25.872149,77.268539,19.905193
30/08/2012,25.593597,76.708427,19.582455
31/08/2012,26.015656,77.410629,20.034296
4/09/2012,25.652683,76.641548,19.70348
5/09/2012,25.652683,76.700081,19.679277
6/09/2012,26.463032,77.979118,20.252146
7/09/2012,26.125389,77.594543,19.517906
10/09/2012,25.931242,75.797211,18.767525
11/09/2012,25.990326,76.215233,18.832073
12/09/2012,25.981894,75.914253,18.711046
13/09/2012,26.116943,76.959206,18.848211
14/09/2012,26.344858,78.564278,18.856279
17/09/2012,26.344858,78.397095,18.807867
18/09/2012,26.31954,78.104492,18.856279
19/09/2012,26.209795,78.271683,18.67877
